model,quantization,prompt_id,language,task,repetition,status,response,cold_start_latency,warm_inference_latency,latency_seconds,memory_gb,cpu_percent,input_tokens,output_tokens,tokens_per_second
tinyllama,fp16,qa_en_01,English,Question Answering,0,ok,"The question ""What do you do?"" is asked to ask about someone's occupation or profession. It typically asks for information about a person's job, career, or employment status. The question may be used to establish rapport with the speaker or to clarify the topic of conversation.",1.604553709,1.298496,2.965766191482544,0.118927001953125,20.5,50.0,59.0,45.437182709842766
tinyllama,fp16,qa_en_02,English,Question Answering,0,ok,"In this context, ""run"" means to act or operate in a way that is independent of external control. It can refer to running a business on your own, such as starting and managing a company from scratch. In this sense, the word ""run"" has no specific meaning beyond its literal definition.",0.036712125,1.346172,1.417924165725708,0.0753173828125,40.0,53.0,63.0,46.79936887708257
tinyllama,fp16,qa_en_03,English,Question Answering,0,ok,"In English, the word ""retired"" refers to someone who has stopped working or performing their job duties due to age, retirement, or other reasons. It is used to indicate that a person has left their previous career or profession and is no longer actively engaged in it. In casual conversation, you may use this term to describe someone who has retired from a particular field or position. For example:
- ""I've been retired for over a year now."" - ""She's retired now, but she still works part-time at the local coffee shop.""",0.034936417,2.861265,2.9298360347747803,0.0753326416015625,40.8,47.0,119.0,41.589996033223066
tinyllama,fp16,qa_en_04,English,Question Answering,0,ok,"There is no bird that cannot fly, as all birds have the ability to fly. However, some birds may not be able to fly for various reasons, such as being too small or weak, lacking wings, or having other physical limitations.",0.032476958,1.048194999,1.117991924285889,0.0753021240234375,10.7,40.0,50.0,47.70104803753219
tinyllama,fp16,qa_en_05,English,Question Answering,0,ok,"Both ""thinking of studying"" and ""thinking to study"" are acceptable preppositionals for indicating intention to study in a foreign country. The choice between the two depends on the context and tone of the sentence. In general, ""thinking of studying"" is more formal and implies that you have already made up your mind about studying abroad, whereas ""thinking to study"" suggests that you are still considering the possibility of studying abroad.",0.031512458,1.929129,2.0068440437316895,0.0753936767578125,9.5,65.0,91.0,47.17154736671316
tinyllama,fp16,qa_en_06,English,Question Answering,0,ok,"Sure, here are the three most commonly used programming languages:

1. Python - a high-level, interpreted, object-oriented language that is widely used for data analysis and machine learning applications.
2. Java - an object-oriented programming language that is popular for developing desktop and mobile applications.
3. C++ - a general-purpose, object-oriented programming language that is commonly used in game development, graphics programming, and system programming.",0.032715083,2.083272,2.151555061340332,0.0756378173828125,100.0,41.0,99.0,47.52139902998744
tinyllama,fp16,qa_en_07,English,Question Answering,0,ok,"In English, the phrase ""hang out"" usually refers to spending time with someone or doing something together without any specific purpose or goal. It can be used as a casual way of expressing social interaction, such as having coffee or lunch with friends, going for a walk in the park, or watching a movie at home. The phrase ""hang out"" is not typically used to describe formal business meetings or professional interactions.",0.033477541,1.861207,1.9275901317596436,0.0756378173828125,50.0,45.0,89.0,47.81843180258832
tinyllama,fp16,qa_en_08,English,Question Answering,0,ok,"The word ""humid"" refers to the state or condition of being moist, wet, or saturated with water. In the context of weather, it means that there is a high amount of moisture in the air, which can cause the air to be damp and humid. This can lead to conditions such as heavy rain, thunderstorms, fog, and mists.",0.032066542,1.777003,1.842893123626709,0.0756683349609375,7.9,51.0,84.0,47.27060111885011
tinyllama,fp16,qa_en_09,English,Question Answering,0,ok,"When someone says ""it is pouring,"" they are indicating that the weather conditions are currently raining or showering. This can be expressed in different ways depending on the context:

1. In a formal conversation, you might say ""the weather is rainy.""
2. In informal conversation, you might say ""it's pouring rain"" or ""it's pouring like a faucet.""
3. You might also use phrases like ""it's pouring cats and dogs,"" which means it's raining heavily with a lot of drops falling on the ground.
4. In some cultures, people may say ""it is pouring down"" or ""it is pouring like a river."" These expressions indicate that the rain is coming down in a heavy and continuous manner.",0.031967334,3.635994,3.7017858028411865,0.0757598876953125,6.1,52.0,172.0,47.30480853378746
tinyllama,fp16,qa_en_10,English,Question Answering,0,ok,"In this context, ""chilly"" refers to the coldness of the weather. The word ""chilly"" is used to describe the temperature or feeling of being cold. In this case, it means that the weather is cold and unpleasant, with a chill in the air.",0.031594375,1.255644,1.3204989433288574,0.075775146484375,6.1,47.0,60.0,47.784244578877455
tinyllama,fp16,qa_en_11,English,Question Answering,0,ok,"When describing preparation for cold weather, the phrase ""bundle up"" typically refers to wrapping oneself in clothing or blankets to protect oneself from the cold. This can include layers of clothing such as sweaters, jackets, and hats, as well as blankets or other warm items like sleeping bags or quilts. The idea is to create a layered system of protection against the cold, so that one can stay warm even in harsh weather conditions.",0.031608,2.129804,2.1949448585510254,0.0758056640625,6.6,51.0,101.0,47.4222041089227
tinyllama,fp16,qa_en_12,English,Question Answering,0,ok,"In time-telling, the phrase ""half past four"" means approximately 15 minutes before the hour (i.e., 4:00 PM). The word ""four"" is used to indicate that it is half past the hour, or 3:59 PM in this case.",0.032485209,1.323311,1.3894059658050537,0.0758209228515625,7.3,48.0,63.0,47.60785635425082
tinyllama,fp16,qa_en_13,English,Question Answering,0,ok,"In this context, ""quarter to"" refers to the time between two consecutive hours (i.e., from one hour before midnight to one hour after midnight). In other words, it means ""at quarter past."" So, ""a quarter to twelv"" would roughly translate to ""at 12:30 a.m. To 1:30 a.m.""",0.032199542,1.72047,1.7855749130249023,0.0758209228515625,6.6,50.0,82.0,47.66139485140688
tinyllama,fp16,qa_en_14,English,Question Answering,0,ok,"In the context of shopping, ""browsing"" means looking at products and trying them on without making a purchase. Customers may use this term to describe their intention to look at items before deciding whether or not to make a purchase. In other words, they are simply exploring the store's offerings without committing to anything in advance.",0.032765125,1.516908,1.5831971168518066,0.075836181640625,3.1,57.0,73.0,48.12421056517601
tinyllama,fp16,qa_en_15,English,Question Answering,0,ok,"A ""try-on room"" or ""try-on area"" is a space within a clothing store where customers can try on different clothes and accessories to see how they look on them. This allows customers to get a better idea of what the clothes will look like on them before making a purchase. The try-on room typically has a variety of sizes, colors, and styles available for customers to choose from. It is an important feature in clothing stores as it helps customers make informed decisions about their purchases and ensures that they get the right fit and style.",0.03283525,2.492471,2.559337854385376,0.075836181640625,100.0,49.0,119.0,47.7437851834585
